Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,4222767412.65203
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,14034980333.6615
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,11279535398.2301
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,194497900
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,4739298311.39235
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,12232463655.5727
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1076912039691.17
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,329895600
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,6795741776.1672
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,..
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,11183458130.8083
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,4374130530.97345
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,103606321692.582
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,11014862241.7342
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,63225097051.255
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,11309232187.534
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,102060129.577055
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,21131983246.1855
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,777227541581.307
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,..
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,189285950470.754
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,13184989877.5664
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,7606749314.04003
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,404652720164.898
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,1242000000
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,371075238095.238
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,66824447334.2003
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,278654637737.69
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,302699800
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,57820916600
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,19904808311.6227
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,27424071373.0501
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,191639655121.33
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,304889079564.681
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,471400273917.013
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,205184480409.024
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,105034500000
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,152451923076.923
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,187805922349.231
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,1284727602173.71
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,8475681532.52169
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,786356314.80277
