Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1807.34978407022,1874.30476770293,1851.42481621132,1963.63907865756,2127.56690159395,2277.0666755098,2339.86193776423,2575.62007733011,2719.42979712242,2986.21888933316,3299.03729664552,3489.08660129541,3942.81241954439,4762.47930449704,6471.55416483126,6992.53897536211,7474.86235848476,7763.13077195441,8239.95482475188,9279.25359480482,10191.8160604335,11830.8653178352,12763.3236063969,11515.8064658839,12428.8579338162,11434.8898883603,11360.527656765,11623.3596704092,14257.022162373,17801.2682666586,18214.8369843135,18824.2474038288,18569.7687940943,17633.3813804079,18045.4390604354,20319.6306283956,21861.32550987,23468.5968306374,21318.9641694318,20521.7775705928,21669.410913094,19482.5679026647,20074.2293129481,23437.3121454327,30401.5547862944,33961.6818019217,36019.203051188,40905.4708936845,49535.2578737769,42709.8033034787,51936.8887116461,62411.7854473961,67864.6898624672,67990.2900304798,62327.5559390333,56561.4123818054,49896.6811009246,53799.9380899599
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.8170731707317,70.9731707317073,70.9424390243903,70.9117073170732,70.8809756097561,70.850243902439,70.819512195122,70.8692682926829,70.9190243902439,70.9687804878049,71.0185365853659,71.0682926829268,71.4575609756098,71.8468292682927,72.2360975609756,72.6253658536586,73.0146341463415,73.3443902439024,73.6741463414634,74.0039024390244,74.3336585365854,74.6634146341463,74.9048780487805,75.1463414634146,75.3878048780488,75.6292682926829,75.8707317073171,76.1517073170732,76.4326829268293,76.7136585365854,76.9946341463415,77.2756097560976,77.3780487804878,77.8780487804878,77.8780487804878,77.8292682926829,78.0780487804878,78.4804878048781,78.6317073170732,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.8414634146341,81.0414634146342,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.5,..
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.460426850415,1031.8150043291,1087.8342434189,1167.00053244585,1269.41258289256,1374.53213986075,1486.96860600566,1569.66718289967,1677.67352804272,1825.38612552124,2058.76907922607,2380.97844333246,2924.04887110057,3890.72245647634,4630.7572070671,5285.62072414121,5678.38663782273,6810.6277286986,8205.46892702823,9793.76530724628,10869.5464236099,9385.24901832146,9410.34722457985,9537.40743056414,8991.06507601017,9172.09676880976,13083.0726978243,16392.7695665813,17578.6189397397,17468.9461918554,21680.9896863626,22410.9117362704,24880.164070125,24081.5278077646,25646.7006591684,30325.8495818396,29809.0767730821,26705.4785993891,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.8972411655,36821.5214680093,38403.1338770715,40635.2818159724,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.7087062864,51704.5411875921,44206.7842820834,44731.0108553361,47290.9116498316
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.5856097560976,69.5773170731707,69.309512195122,69.4436585365854,69.9219512195122,69.7221951219512,70.0458536585366,69.9178048780488,70.0575609756098,69.8331707317073,69.9146341463415,70.1146341463415,70.4634146341463,71.0146341463415,71.0121951219512,71.1146341463415,71.5658536585366,71.9146341463415,72.0121951219512,72.3121951219512,72.4634146341463,72.8121951219512,72.9609756097561,73.0121951219512,73.6121951219512,73.8146341463415,74.3170731707317,74.7682926829268,75.2170731707317,75.2658536585366,75.5682926829269,75.6170731707317,75.8170731707317,76.0682926829268,76.419512195122,76.6682926829268,76.8707317073171,77.319512195122,77.6707317073171,77.8756097560976,78.1268292682927,78.5756097560976,78.6780487804878,78.6317073170732,79.1804878048781,79.3317073170732,79.8804878048781,80.1804878048781,80.4317073170732,80.3317073170732,80.5804878048781,80.9829268292683,80.9365853658537,81.1365853658537,81.490243902439,81.190243902439,80.890243902439,..
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1237.324491677,1209.23749284959,676.15151145252,530.090379806798,436.19055858199,397.198116117247,409.216745216782,505.560573228931,561.910301735455,573.8902561721,655.097432602586,703.683843432722,763.073085847085,883.64399654717,1045.02162987002,1578.40239029603,2473.08181863536,3851.43786871172,5574.60380218613,4950.29479142375,5842.80578358576,7189.69122920765,7496.29464768263,7875.75695254288,7891.31314749986,5500.31038244408,3880.73873089556,4131.61831005055
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.035,61.257,61.47,61.679,61.89,62.104,62.322,62.539,62.751,62.953,63.141,63.31,63.457,63.583,63.688,63.776,63.852,63.922,63.992,64.069,64.161,64.28,64.424,64.587,64.759,64.913,65.016,65.053,65.021,64.935,64.827,64.745,64.731,64.81,64.991,65.256,65.573,65.899,66.207,66.491,66.763,67.054,67.391,67.791,68.249,68.75,69.269,69.774,70.238,70.646,70.987,71.26,71.478,71.656,71.8,71.921,72.026,..
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,1550.32431495716,1651.47547707967,1752.97029278086,1867.11298751475,1994.54491964477,2144.83097135923,2322.94385308063,2556.83530087592,2804.70513080569,3215.48667199577,3179.27627155317,3297.99899921202,3322.6682561193,3696.66314026272,3416.55006239904,3156.46805942334,3328.63319198349,3617.25119348996,4130.75086967094,5532.15083093888,6338.61986793949,6622.68565804379,7165.13449097719,7694.93798487479,8873.76910201509,9888.48934964442,10339.5210156776,11150.6900362788,11381.8215599869,12158.078848834,12350.9768428937,11914.8577643653,11682.084964717,11402.651522136,11812.4648870041,12239.8714974121,12717.1500052856,22066.2787050911,23557.9535268565,26173.7154769528,27112.2562019537,27439.3587015686,28727.0221926076,28092.4857322025,28076.1551006741,29874.6541371424,30274.9903224846,31018.0294921829,30188.4844382751,28129.6075027617,27979.1149343739,27472.2561707514,28815.527404385,28171.9860036051,28671.3469695344,30483.8201004038,30260.3059054474,30762.0124392644
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.881,63.22,63.551,63.873,64.189,64.498,64.8,65.095,65.383,65.665,65.943,66.218,66.49,66.759,67.027,67.291,67.55,67.803,68.05,68.29,68.524,68.755,68.984,69.212,69.438,69.663,69.886,70.104,70.316,70.518,70.705,70.869,71.01,71.131,71.239,71.351,71.482,71.646,71.85,72.093,72.37,72.668,72.971,73.264,73.538,73.787,74.012,74.218,74.41,74.591,74.761,74.923,75.079,75.23,75.379,75.527,75.675,..
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8537.92937933215,9269.26961652991,9446.15800194601,9421.2856547764,9590.68309906509,8706.72508434699,7041.56947006168,7555.066809448,7958.67949196537,8030.85457978182,8528.98333446095,9055.59111405318,9082.74116884425,9698.13480360754,10130.41306842,10376.9348875001,10544.6671254851,10672.1839436858,10076.187784535,10401.4804488927,13636.3466837798,12868.2109970281,13102.3345682658,14221.9925934886,15846.4764093173,17959.1785373542,19307.9954920205,20977.1105261075,23067.5653465171,19356.6723557874,20722.1038895508,22512.1596038712,23649.3666139101,24737.1717830704,24983.3790153356,22688.8782442968,22560.5812707477,23655.0356024013
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.868,53.234,54.589,55.91,57.181,58.387,59.523,60.595,61.608,62.559,63.448,64.274,65.042,65.757,66.421,67.04,67.616,68.152,68.651,69.117,69.55,69.95,70.316,70.65,70.956,71.237,71.495,71.735,71.962,72.179,72.39,72.598,72.803,73.006,73.209,73.413,73.619,73.826,74.033,74.239,74.44,74.635,74.822,74.999,75.167,75.326,75.478,75.625,75.77,75.913,76.056,76.199,76.341,76.482,76.622,76.761,76.9,..
